region,region1,year,TranCost
1,12,2024,1
1,12,2025,1
1,12,2026,1
1,12,2027,1
1,12,2028,1
1,12,2029,1
1,12,2030,1
1,12,2031,1
1,12,2032,1
1,12,2033,1
1,12,2034,1
1,12,2035,1
1,12,2036,1
1,12,2037,1
1,12,2038,1
1,12,2039,1
1,12,2040,1
1,12,2041,1
1,12,2042,1
1,12,2043,1
1,12,2044,1
1,12,2045,1
1,12,2046,1
1,12,2047,1
1,12,2048,1
1,12,2049,1
1,12,2050,1
1,13,2023,1
1,13,2024,1
1,13,2025,1
1,13,2026,1
1,13,2027,1
1,13,2028,1
1,13,2029,1
1,13,2030,1
1,13,2031,1
1,13,2032,1
1,13,2033,1
1,13,2034,1
1,13,2035,1
1,13,2036,1
1,13,2037,1
1,13,2038,1
1,13,2039,1
1,13,2040,1
1,13,2041,1
1,13,2042,1
1,13,2043,1
1,13,2044,1
1,13,2045,1
1,13,2046,1
1,13,2047,1
1,13,2048,1
1,13,2049,1
1,13,2050,1
1,14,2023,1
1,14,2024,1
1,14,2025,1
1,14,2026,1
1,14,2027,1
1,14,2028,1
1,14,2029,1
1,14,2030,1
1,14,2031,1
1,14,2032,1
1,14,2033,1
1,14,2034,1
1,14,2035,1
1,14,2036,1
1,14,2037,1
1,14,2038,1
1,14,2039,1
1,14,2040,1
1,14,2041,1
1,14,2042,1
1,14,2043,1
1,14,2044,1
1,14,2045,1
1,14,2046,1
1,14,2047,1
1,14,2048,1
1,14,2049,1
1,14,2050,1
1,15,2023,1
1,15,2024,1
1,15,2025,1
1,15,2026,1
1,15,2027,1
1,15,2028,1
1,15,2029,1
1,15,2030,1
1,15,2031,1
1,15,2032,1
1,15,2033,1
1,15,2034,1
1,15,2035,1
1,15,2036,1
1,15,2037,1
1,15,2038,1
1,15,2039,1
1,15,2040,1
1,15,2041,1
1,15,2042,1
1,15,2043,1
1,15,2044,1
1,15,2045,1
1,15,2046,1
1,15,2047,1
1,15,2048,1
1,15,2049,1
1,15,2050,1
1,16,2023,1
1,16,2024,1
1,16,2025,1
1,16,2026,1
1,16,2027,1
1,16,2028,1
1,16,2029,1
1,16,2030,1
1,16,2031,1
1,16,2032,1
1,16,2033,1
1,16,2034,1
1,16,2035,1
1,16,2036,1
1,16,2037,1
1,16,2038,1
1,16,2039,1
1,16,2040,1
1,16,2041,1
1,16,2042,1
1,16,2043,1
1,16,2044,1
1,16,2045,1
1,16,2046,1
1,16,2047,1
1,16,2048,1
1,16,2049,1
1,16,2050,1
1,17,2023,1
1,17,2024,1
1,17,2025,1
1,17,2026,1
1,17,2027,1
1,17,2028,1
1,17,2029,1
1,17,2030,1
1,17,2031,1
1,17,2032,1
1,17,2033,1
1,17,2034,1
1,17,2035,1
1,17,2036,1
1,17,2037,1
1,17,2038,1
1,17,2039,1
1,17,2040,1
1,17,2041,1
1,17,2042,1
1,17,2043,1
1,17,2044,1
1,17,2045,1
1,17,2046,1
1,17,2047,1
1,17,2048,1
1,17,2049,1
1,17,2050,1
1,18,2023,1
1,18,2024,1
1,18,2025,1
1,18,2026,1
1,18,2027,1
1,18,2028,1
1,18,2029,1
1,18,2030,1
1,18,2031,1
1,18,2032,1
1,18,2033,1
1,18,2034,1
1,18,2035,1
1,18,2036,1
1,18,2037,1
1,18,2038,1
1,18,2039,1
1,18,2040,1
1,18,2041,1
1,18,2042,1
1,18,2043,1
1,18,2044,1
1,18,2045,1
1,18,2046,1
1,18,2047,1
1,18,2048,1
1,18,2049,1
1,18,2050,1
1,19,2023,1
1,19,2024,1
1,19,2025,1
1,19,2026,1
1,19,2027,1
1,19,2028,1
1,19,2029,1
1,19,2030,1
1,19,2031,1
1,19,2032,1
1,19,2033,1
1,19,2034,1
1,19,2035,1
1,19,2036,1
1,19,2037,1
1,19,2038,1
1,19,2039,1
1,19,2040,1
1,19,2041,1
1,19,2042,1
1,19,2043,1
1,19,2044,1
1,19,2045,1
1,19,2046,1
1,19,2047,1
1,19,2048,1
1,19,2049,1
1,19,2050,1
1,20,2023,1
1,20,2024,1
1,20,2025,1
1,20,2026,1
1,20,2027,1
1,20,2028,1
1,20,2029,1
1,20,2030,1
1,20,2031,1
1,20,2032,1
1,20,2033,1
1,20,2034,1
1,20,2035,1
1,20,2036,1
1,20,2037,1
1,20,2038,1
1,20,2039,1
1,20,2040,1
1,20,2041,1
1,20,2042,1
1,20,2043,1
1,20,2044,1
1,20,2045,1
1,20,2046,1
1,20,2047,1
1,20,2048,1
1,20,2049,1
1,20,2050,1
1,21,2023,1
1,21,2024,1
1,21,2025,1
1,21,2026,1
1,21,2027,1
1,21,2028,1
1,21,2029,1
1,21,2030,1
1,21,2031,1
1,21,2032,1
1,21,2033,1
1,21,2034,1
1,21,2035,1
1,21,2036,1
1,21,2037,1
1,21,2038,1
1,21,2039,1
1,21,2040,1
1,21,2041,1
1,21,2042,1
1,21,2043,1
1,21,2044,1
1,21,2045,1
1,21,2046,1
1,21,2047,1
1,21,2048,1
1,21,2049,1
1,21,2050,1
1,22,2023,1
1,22,2024,1
