region,region1,year,season,TranLimitCapInt
9,31,2027,3,1.98
9,31,2027,4,1.98
9,31,2028,1,1.98
9,31,2028,2,1.98
9,31,2028,3,1.98
9,31,2028,4,1.98
9,31,2029,1,1.98
9,31,2029,2,1.98
9,31,2029,3,1.98
9,31,2029,4,1.98
9,31,2030,1,1.98
9,31,2030,2,1.98
9,31,2030,3,1.98
9,31,2030,4,1.98
9,31,2031,1,1.98
9,31,2031,2,1.98
9,31,2031,3,1.98
9,31,2031,4,1.98
9,31,2032,1,1.98
9,31,2032,2,1.98
9,31,2032,3,1.98
9,31,2032,4,1.98
9,31,2033,1,1.98
9,31,2033,2,1.98
9,31,2033,3,1.98
9,31,2033,4,1.98
9,31,2034,1,1.98
9,31,2034,2,1.98
9,31,2034,3,1.98
9,31,2034,4,1.98
9,31,2035,1,1.98
9,31,2035,2,1.98
9,31,2035,3,1.98
9,31,2035,4,1.98
9,31,2036,1,1.98
9,31,2036,2,1.98
9,31,2036,3,1.98
9,31,2036,4,1.98
9,31,2037,1,1.98
9,31,2037,2,1.98
9,31,2037,3,1.98
9,31,2037,4,1.98
9,31,2038,1,1.98
9,31,2038,2,1.98
9,31,2038,3,1.98
9,31,2038,4,1.98
9,31,2039,1,1.98
9,31,2039,2,1.98
9,31,2039,3,1.98
9,31,2039,4,1.98
9,31,2040,1,1.98
9,31,2040,2,1.98
9,31,2040,3,1.98
9,31,2040,4,1.98
9,31,2041,1,1.98
9,31,2041,2,1.98
9,31,2041,3,1.98
9,31,2041,4,1.98
9,31,2042,1,1.98
9,31,2042,2,1.98
9,31,2042,3,1.98
9,31,2042,4,1.98
9,31,2043,1,1.98
9,31,2043,2,1.98
9,31,2043,3,1.98
9,31,2043,4,1.98
9,31,2044,1,1.98
9,31,2044,2,1.98
9,31,2044,3,1.98
9,31,2044,4,1.98
9,31,2045,1,1.98
9,31,2045,2,1.98
9,31,2045,3,1.98
9,31,2045,4,1.98
9,31,2046,1,1.98
9,31,2046,2,1.98
9,31,2046,3,1.98
9,31,2046,4,1.98
9,31,2047,1,1.98
9,31,2047,2,1.98
9,31,2047,3,1.98
9,31,2047,4,1.98
9,31,2048,1,1.98
9,31,2048,2,1.98
9,31,2048,3,1.98
9,31,2048,4,1.98
9,31,2049,1,1.98
9,31,2049,2,1.98
9,31,2049,3,1.98
9,31,2049,4,1.98
9,31,2050,1,1.98
9,31,2050,2,1.98
9,31,2050,3,1.98
9,31,2050,4,1.98
9,32,2023,1,1.86
9,32,2023,2,1.86
9,32,2023,3,1.86
9,32,2023,4,1.86
9,32,2024,1,1.86
9,32,2024,2,1.86
9,32,2024,3,1.86
9,32,2024,4,1.86
9,32,2025,1,1.86
9,32,2025,2,1.86
9,32,2025,3,1.86
9,32,2025,4,1.86
9,32,2026,1,1.86
9,32,2026,2,1.86
9,32,2026,3,1.86
9,32,2026,4,1.86
9,32,2027,1,1.86
9,32,2027,2,1.86
9,32,2027,3,1.86
9,32,2027,4,1.86
9,32,2028,1,1.86
9,32,2028,2,1.86
9,32,2028,3,1.86
9,32,2028,4,1.86
9,32,2029,1,1.86
9,32,2029,2,1.86
9,32,2029,3,1.86
9,32,2029,4,1.86
9,32,2030,1,1.86
9,32,2030,2,1.86
9,32,2030,3,1.86
9,32,2030,4,1.86
9,32,2031,1,1.86
9,32,2031,2,1.86
9,32,2031,3,1.86
9,32,2031,4,1.86
9,32,2032,1,1.86
9,32,2032,2,1.86
9,32,2032,3,1.86
9,32,2032,4,1.86
9,32,2033,1,1.86
9,32,2033,2,1.86
9,32,2033,3,1.86
9,32,2033,4,1.86
9,32,2034,1,1.86
9,32,2034,2,1.86
9,32,2034,3,1.86
9,32,2034,4,1.86
