plant_name,plant_id,unit_id,generator_id,unique_id,state,region,technology,heat_rate_mmbtu_per_mwh,capacity_mw,region_id,co2_short_ton_per_mwh
RosemaryPowerStation,50555,2,GEN3,50555-2-GEN3,NC,PJM,Oil,5.76,54.0,PJM_DOM,0.4698486144
FrontierGeneratingStation,50558,CC01,ST01,50558-CC01-ST01,OK,SPP,GasCombinedCycle,9.8,49.9,SPP_OK,0.5731879723
FrontierGeneratingStation,50558,CC01,GT01,50558-CC01-GT01,OK,SPP,GasCombinedCycle,9.8,72.5,SPP_OK,0.5731879723
EaglePointPowerGeneration,50561,1,GTG1,50561-1-GTG1,NJ,PJM,GasCombinedCycle,10.4,90.0,PJM_PSEG,0.6082811134
EaglePointPowerGeneration,50561,1,STG1,50561-1-STG1,NJ,PJM,GasCombinedCycle,10.4,45.0,PJM_PSEG,0.6082811134
EaglePointPowerGeneration,50561,1,STG4,50561-1-STG4,NJ,PJM,GasCombinedCycle,10.4,26.0,PJM_PSEG,0.6082811134
EaglePointPowerGeneration,50561,2,GTG2,50561-2-GTG2,NJ,PJM,GasCombinedCycle,9.79,90.0,PJM_PSEG,0.5726030866
EaglePointPowerGeneration,50561,2,STG1,50561-2-STG1,NJ,PJM,GasCombinedCycle,9.79,45.0,PJM_PSEG,0.5726030866
EaglePointPowerGeneration,50561,2,STG4,50561-2-STG4,NJ,PJM,GasCombinedCycle,9.79,26.0,PJM_PSEG,0.5726030866
"RauschCreekGeneration,LLC",50611,31,GEN1,50611-31-GEN1,PA,PJM,Coal,18.09,34.0,PJM_PPL,1.860076695
McKittrickLimited,50612,GT1,GEN1,50612-GT1-GEN1,CA,OTHER,GasTurbine,9.0,48.0,OTHER,0.5263971174
ExxonMobilBeaumontRefinery,50625,61STK1,TG41,50625-61STK1-TG41,TX,MISO,GasCombinedCycle,15.34,165.0,OTHER,0.8972146423
ExxonMobilBeaumontRefinery,50625,61STK2,TG42,50625-61STK2-TG42,TX,MISO,GasCombinedCycle,15.34,165.0,OTHER,0.8972146423
ExxonMobilBeaumontRefinery,50625,61STK3,TG43,50625-61STK3-TG43,TX,MISO,GasCombinedCycle,16.23,165.0,OTHER,0.9492694684
ExxonmobilOilCorporation,50627,20B1,GTG1,50627-20B1-GTG1,IL,PJM,GasCombinedCycle,5.04,21.9,PJM_COMED,0.2947823857
ExxonmobilOilCorporation,50627,20B1,STG1,50627-20B1-STG1,IL,PJM,GasCombinedCycle,5.04,6.5,PJM_COMED,0.2947823857
PaulsboroRefiningCompanyLLC,50628,748001,GEN2,50628-748001-GEN2,NJ,PJM,GasSteam,16.13,15.0,PJM_PSEG,0.9434206115
PaulsboroRefiningCompanyLLC,50628,748001,GEN3,50628-748001-GEN3,NJ,PJM,GasSteam,16.13,15.0,PJM_PSEG,0.9434206115
PaulsboroRefiningCompanyLLC,50628,749001,GEN1,50628-749001-GEN1,NJ,PJM,GasCombinedCycle,26.85,27.0,PJM_PSEG,1.570418067
PaulsboroRefiningCompanyLLC,50628,751001,GEN3,50628-751001-GEN3,NJ,PJM,GasSteam,16.13,15.0,PJM_PSEG,0.9434206115
PaulsboroRefiningCompanyLLC,50628,751001,GEN2,50628-751001-GEN2,NJ,PJM,GasSteam,16.13,15.0,PJM_PSEG,0.9434206115
PaulsboroRefiningCompanyLLC,50628,752001,GEN2,50628-752001-GEN2,NJ,PJM,GasSteam,16.13,15.0,PJM_PSEG,0.9434206115
PaulsboroRefiningCompanyLLC,50628,752001,GEN3,50628-752001-GEN3,NJ,PJM,GasSteam,16.13,15.0,PJM_PSEG,0.9434206115
JMShafer,50707,S001,STA,50707-S001-STA,CO,OTHER,GasCombinedCycle,3.96,52.2,OTHER,0.2316147317
JMShafer,50707,S001,STB,50707-S001-STB,CO,OTHER,GasCombinedCycle,3.96,52.2,OTHER,0.2316147317
JMShafer,50707,S001,LMA,50707-S001-LMA,CO,OTHER,GasCombinedCycle,3.96,57.4,OTHER,0.2316147317
JMShafer,50707,S002,STB,50707-S002-STB,CO,OTHER,GasCombinedCycle,4.17,52.2,OTHER,0.2438973311
JMShafer,50707,S002,LMB,50707-S002-LMB,CO,OTHER,GasCombinedCycle,4.17,57.4,OTHER,0.2438973311
JMShafer,50707,S002,STA,50707-S002-STA,CO,OTHER,GasCombinedCycle,4.17,52.2,OTHER,0.2438973311
JMShafer,50707,S003,LMC,50707-S003-LMC,CO,OTHER,GasCombinedCycle,3.74,57.4,OTHER,0.2187472466
JMShafer,50707,S003,STA,50707-S003-STA,CO,OTHER,GasCombinedCycle,3.74,52.2,OTHER,0.2187472466
JMShafer,50707,S003,STB,50707-S003-STB,CO,OTHER,GasCombinedCycle,3.74,52.2,OTHER,0.2187472466
JMShafer,50707,S004,LMD,50707-S004-LMD,CO,OTHER,GasCombinedCycle,3.77,57.4,OTHER,0.2205019036
JMShafer,50707,S004,STA,50707-S004-STA,CO,OTHER,GasCombinedCycle,3.77,52.2,OTHER,0.2205019036
JMShafer,50707,S004,STB,50707-S004-STB,CO,OTHER,GasCombinedCycle,3.77,52.2,OTHER,0.2205019036
JMShafer,50707,S005,STB,50707-S005-STB,CO,OTHER,GasCombinedCycle,3.8,52.2,OTHER,0.2222565607
JMShafer,50707,S005,LME,50707-S005-LME,CO,OTHER,GasCombinedCycle,3.8,57.4,OTHER,0.2222565607
JMShafer,50707,S005,STA,50707-S005-STA,CO,OTHER,GasCombinedCycle,3.8,52.2,OTHER,0.2222565607
USSteel(EdgarThomson),50732,ETBLR1,GEN2,50732-ETBLR1-GEN2,PA,PJM,GasSteam,10.5,25.0,PJM_PPL,0.6141299703
USSteel(EdgarThomson),50732,ETBLR1,GEN1,50732-ETBLR1-GEN1,PA,PJM,GasSteam,10.5,25.0,PJM_PPL,0.6141299703
USSteel(EdgarThomson),50732,ETBLR2,GEN1,50732-ETBLR2-GEN1,PA,PJM,GasSteam,10.5,25.0,PJM_PPL,0.6141299703
